Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recov,Active_cases,Serious_critical,Total_cases_1mio,Deaths_1miopop,Total_tests,Tests_1miopop
Tanzania,509,,"21 ",,183,305,7,9,0.4,,
Jamaica,498,8,"9 ",,78,411,,168,3,"6,889","2,326"
Malta,496,6,"5 ",,433,58,,"1,123",11,"40,493","91,708"
Taiwan,440,,"6 ",,366,68,,18,0.3,"67,133","2,819"
"Equatorial Guinea",439,,"4 ",,13,422,,313,3,854,609
Réunion,436,5," ",,354,82,5,487,,"17,200","19,211"
Venezuela,414,12,"10 ",,193,211,2,15,0.4,"512,181","18,012"
Palestine,375,,"2 ",,263,110,,74,0.4,"34,511","6,765"
Mauritius,332,,"10 ",,320,2,3,261,8,"69,773","54,863"
"Isle of Man",330,1,"23 ",,271,36,21,"3,881",270,"3,773","44,371"
Montenegro,324,,"9 ",1,290,25,2,516,14,"7,816","12,445"
Chad,322,,"31 ",,53,238,,20,2,,
Benin,319,35,"2 ",,62,255,,26,0.2,"19,474","1,606"
"Sierra Leone",307,16,"18 ",,67,222,,38,2,,
Vietnam,288,," ",,241,47,8,3,,"261,004","2,681"
Rwanda,284,4," ",,140,144,,22,,"42,425","3,276"
Congo,274,,"10 ",,33,231,,50,2,,
Zambia,267,15,"7 ",,117,143,1,15,0.4,"10,270",559
"Cabo Verde",246,10,"2 ",,56,188,,442,4,791,"1,423"
Ethiopia,239,29,"5 ",,99,135,1,2,0.04,"34,860",303
"Sao Tome and Principe",208,,"5 ",,4,199,,949,23,175,799
Liberia,199,,"20 ",,79,100,,39,4,,
Madagascar,193,," ",,101,92,1,7,,"3,968",143
"Faeroe Islands",187,," ",,187,0,,"3,827",,"8,450","172,932"
Martinique,186,,"14 ",,83,89,3,496,37,,
Haiti,182,31,"15 ",3,17,150,,16,1,"1,296",114
Myanmar,180,2,"6 ",,72,102,,3,0.1,"11,222",206
Togo,174,21,"11 ",1,89,74,,21,1,"10,377","1,253"
Eswatini,172,9,"2 ",,27,143,,148,2,714,615
Guadeloupe,154,,"13 ",,104,37,4,385,32,,
Gibraltar,146,," ",,143,3,,"4,334",,"4,099","121,665"
"French Guiana",144,3,"1 ",,122,21,,482,3,,
CAR,143,," ",,10,133,,30,,"3,498",724
"Brunei ",141,,"1 ",,134,6,2,322,2,"15,898","36,340"
Cambodia,122,," ",,120,2,1,7,,"13,448",804
Uganda,121,5," ",,55,66,,3,,"58,606","1,281"
"South Sudan",120,," ",,2,118,,11,,"1,247",111
Bermuda,118,,"7 ",,64,47,4,"1,895",112,"4,020","64,549"
"Trinidad and Tobago",116,,"8 ",,107,1,,83,6,"2,307","1,648"
Nepal,110,1," ",,31,79,,4,,"72,239","2,479"
Guyana,104,10,"10 ",,35,59,6,132,13,914,"1,162"
Aruba,101,,"3 ",,89,9,4,946,28,"1,874","17,552"
Monaco,96,,"4 ",,82,10,1,"2,446",102,,
Bahamas,92,,"11 ",,37,44,1,234,28,"1,500","3,814"
Mozambique,91,4," ",,34,57,,3,,"3,923",126
Barbados,84,,"7 ",,57,20,4,292,24,"2,990","10,405"
Liechtenstein,82,,"1 ",,55,26,,"2,151",26,900,"23,605"
"Cayman Islands",81,,"1 ",,41,39,3,"1,232",15,"3,423","52,083"
"Sint Maarten",76,,"15 ",,46,15,7,"1,773",350,329,"7,673"
Libya,64,,"3 ",,24,37,,9,0.4,"3,093",450
"French Polynesia",60,," ",,56,4,1,214,,"2,950","10,502"
Malawi,56,,"3 ",,14,39,1,3,0.2,"1,188",62
Yemen,51,17,"8 ",1,1,42,,2,0.3,120,4
Syria,47,,"3 ",,29,15,,3,0.2,,
Macao,45,," ",,40,5,1,69,,,
Angola,43,,"2 ",,13,28,,1,0.06,"3,000",91
Mongolia,42,," ",,14,28,,13,,"9,600","2,928"
"Saint Martin",39,,"3 ",,30,6,1,"1,009",78,,
Eritrea,39,," ",,37,2,,11,,,
Zimbabwe,36,1,"4 ",,9,23,,2,0.3,"20,537","1,382"
"Antigua and Barbuda",25,,"3 ",,19,3,1,255,31,183,"1,869"
Timor-Leste,24,," ",,21,3,,18,,738,560
Botswana,23,,"1 ",,12,10,,10,0.4,"9,540","4,057"
Grenada,21,," ",,13,8,4,187,,"1,406","12,495"
Gambia,20,,"1 ",,9,10,,8,0.4,849,351
Laos,19,," ",,13,6,,3,,"3,187",438
Belize,18,,"2 ",,16,0,,45,5,"1,043","2,623"
Fiji,18,," ",,14,4,,20,,"1,300","1,450"
"New Caledonia",18,," ",,18,0,,63,,"5,213","18,259"
"Saint Lucia",18,," ",,17,1,,98,,620,"3,376"
"St. Vincent Grenadines",17,," ",,9,8,,153,,137,"1,235"
Nicaragua,16,,"5 ",,7,4,,2,0.8,,
Curaçao,16,,"1 ",,14,1,,98,6,389,"2,371"
Dominica,16,," ",,15,1,,222,,420,"5,834"
Namibia,16,," ",,11,5,,6,,"1,543",607
Burundi,15,,"1 ",,7,7,,1,0.08,284,24
"Saint Kitts and Nevis",15,," ",,14,1,,282,,327,"6,147"
"Falkland Islands",13,," ",,13,0,,"3,736",,402,"115,517"
"Turks and Caicos",12,,"1  ",,8,3,,310,26,109,"2,815"
"Vatican City",12,," ",,2,10,,"14,981",,,
Comoros,11,,"1 ",,,10,,13,1,,
Montserrat,11,,"1 ",,8,2,1,"2,204",200,36,"7,212"
Greenland,11,," ",,11,0,,194,,"1,394","24,555"
Seychelles,11,," ",,10,1,,112,,,
Suriname,10,,"1 ",,9,0,,17,2,404,689
"MS Zaandam",9,,"2 ",,,7,,,,,
Mauritania,8,,"1 ",,6,1,,2,0.2,"1,842",396
"Papua New Guinea",8,," ",,8,0,,0.9,,"2,402",268
"British Virgin Islands",7,,"1 ",,4,2,,232,33,167,"5,524"
Bhutan,7,," ",,5,2,,9,,"11,655","15,105"
"Caribbean Netherlands",6,," ",,,6,,229,,110,"4,195"
"St. Barth",6,," ",,6,0,,607,,,
"Western Sahara",6,," ",,5,1,,10,,,
Anguilla,3,," ",,3,0,,200,,,
"Saint Pierre Miquelon",1,," ",,,1,,173,,,
Total:,"668,733","17,849","22,189",338,"371,674","274,870","4,995",,,,
Total:,"1,496,765","24,384","89,987","1,136","320,723","1,086,055","17,680",,,,
Total:,"1,628,576","22,747","152,740",975,"658,498","817,338","13,992",,,,
Total:,"310,070","12,116","16,384",992,"108,625","185,061","10,114",,,,
Total:,"64,750","2,765","2,301",69,"22,643","39,806",235,,,,
Total:,"8,539",14,118,,"7,630",791,20,,,,
Total:,721,,15,,651,55,4,,,,
Total:,"4,178,154","79,875","283,734","3,510","1,490,444","2,403,976","47,040",536.0,36.4,,
